0.0001,100,1,5
1 = Jupiter,2 = Callisto,3 = Io,4 = Europa,5 = Ganymede
time,energy,ang_mom,r1x,r1y,r1z,v1x,v1y,v1z,r2x,r2y,r2z,v2x,v2y,v2z,r3x,r3y,r3z,v3x,v3y,v3z,r4x,r4y,r4z,v4x,v4y,v4z,r5x,r5y,r5z,v5x,v5y,v5z
0.0046,-40378.37565909181,211.230390557049,5.463116942445993e-05,-9.266115273519493e-05,-2.475968623200555e-06,0.02540344887296978,-0.0112603738317708,1.109371155283479e-05,-0.8445081088196896,-0.4295569412697455,-0.02476454676626176,52.47757398498018,-102.4908703647525,-2.503277793320604,-0.1980592452718175,0.07186785259751674,-0.0003117343620633791,-82.01405166272559,-230.8573052978412,-9.317477206160902,0.3284579916055683,0.05685649650220982,0.00913467764223461,-34.27447668883978,192.3189333106176,5.597488500858923,0.4862697520408769,0.2223224414317766,0.01538896607993695,-63.79108185850146,139.9315497382398,4.430241922292729
0.0047,-40378.47180056477,211.230390557049,5.713483659594728e-05,-9.375648302048356e-05,-2.474170715819947e-06,0.02464300916481781,-0.01070849619442826,2.226676200741323e-05,-0.8391975904041773,-0.4397741132081944,-0.025013034399181,53.72889962684615,-101.8449506274723,-2.466288730501557,-0.2049221630185673,0.04829594875316882,-0.001241392535030373,-54.74866303697943,-238.9958078624706,-9.212685090991773,0.3244701061370755,0.07599126173422713,0.009678834326606474,-45.41875248819829,190.0489378598487,5.276249903752346,0.4796896128401882,0.2362236253130175,0.01582562639584085,-67.78415402117074,138.0348133711514,4.301170081019875
0.0048,-40378.55929632671,211.230390557049,5.955977125742349e-05,-9.480285197408058e-05,-2.471515270799072e-06,0.02383709118711341,-0.01028376785232526,2.826745520261874e-05,-0.8337623288943204,-0.44992593139524,-0.02525780451236206,54.97234452155035,-101.1838418025453,-2.42893007784918,-0.2090089778792134,0.02406869102502262,-0.002154271380261734,-26.68126341516725,-243.9122395814421,-8.98277151155132,0.3193742411079286,0.09486628407417956,0.01018992762298508,-56.41460769060352,187.1282088438316,4.936787400317503,0.4727129212366427,0.2499294041060069,0.01624920009614093,-71.72049697373436,136.0242793292338,4.168564477354532
0.0049,-40378.63678405013,211.2303905570489,6.190225483336996e-05,-9.58132365909486e-05,-2.468517224779424e-06,0.02300256878335494,-0.009990380633127953,2.918303032794892e-05,-0.8282031214998673,-0.4600108815687035,-0.02549882041475084,56.20772645428143,-100.5076379389683,-2.391207222302764,-0.2102584157016008,-0.0004864991631195957,-0.003037946837340637,1.803653460607421,-245.5253324498621,-8.630395303130259,0.3131871845989548,0.1134169035029935,0.01066619180666997,-67.22338454944375,183.5662068007287,4.580267975904513,0.4653455134454413,0.2634284811788642,0.01665933929131175,-75.59687005104442,133.9016570561751,4.03253626271921
0.005,-40378.70303270951,211.230390557049,6.416028501409447e-05,-9.680092810070616e-05,-2.465678664733482e-06,0.02215675769770705,-0.009830389281934681,2.518265006477236e-05,-0.8225207836034641,-0.4700274589830336,-0.02573604595682262,57.43486418049149,-99.81643531103445,-2.353125607163972,-0.2086482471870919,-0.0250363754649498,-0.003880350440887785,30.31261256599745,-243.8006560453183,-8.159995666083576,0.3059295641980398,0.1315795254343253,0.01110598121816598,-77.80702895077421,179.3747637200668,4.207923683989692,0.4575935472264338,0.2767097355172419,0.01705570734868477,-79.41008426019037,131.6687486360879,3.893199375298126
0.0051,-40378.75697072511,211.230390557049,6.633360637291136e-05,-9.777931444733553e-05,-2.463480694766469e-06,0.02131713791931898,-0.009803654103996955,1.651546225883092e-05,-0.816716148663769,-0.4799741686309104,-0.02596944553618364,58.65357742596455,-99.11033239399929,-2.314690731185446,-0.2041958931884013,-0.04924663037218326,-0.004669945970557352,58.4491453290495,-238.7518132180363,-7.577748295505236,0.2976257788087999,0.1492918562470068,0.01150777654346791,-88.12824596521904,174.5680452337791,3.821046951885434,0.4494634965934032,0.2897622309060818,0.01743797916637138,-83.15700473136471,129.3274470805634,3.750670443546374
0.005200000000000001,-40378.79771180553,211.230390557049,6.842371259795827e-05,-9.876165892150556e-05,-2.462375572281716e-06,0.0205010666227614,-0.009907822574182181,3.507151567925864e-06,-0.8107900681182713,-0.4898495254618334,-0.02619898410305971,59.86368689515538,-98.38942982821885,-2.275908147207859,-0.196958418121282,-0.07278673810855707,-0.005395900099988833,85.81997577980928,-230.4408016032278,-6.891489249955257,0.288303915004996,0.1664931344810811,0.01187019060854307,-98.15065286936441,169.1625017550644,3.420985572193451,0.4409621462801609,0.3025752249333546,0.01780584143739405,-86.83455314211605,126.8797344807359,3.605068686588853
0.0053,-40378.82457737114,211.230390557049,7.043381969746364e-05,-9.976087896217197e-05,-2.462779264452884e-06,0.01972548794610789,-0.01013835175475449,-1.344499434883253e-05,-0.8047434112847379,-0.4996520545965541,-0.02642462716562521,61.06501429248375,-97.6538303733408,-2.236783460360183,-0.1870318980324394,-0.09533479069282881,-0.006048243820548404,112.0412719666617,-218.9775019071974,-6.110607095449172,0.2779956482349271,0.1831243565980197,0.0121919736579066,-107.8389286128754,163.1768087115822,3.009137407885963,0.43209658596498,0.315138177802229,0.01815899290368915,-90.43971013766537,124.3276800289057,3.456515811036982
0.0054,-40378.83711442279,211.230390557049,7.236881018717985e-05,-0.0001007893292724565,-2.465064571151482e-06,0.01900664624041676,-0.01048857218802735,-3.387843246525379e-05,-0.7985770652597746,-0.5093802915365016,-0.02664634079513174,62.25738235964687,-96.90363885674142,-2.197322325937322,-0.1745501637279497,-0.1165822384899966,-0.006618021519078668,136.7448211614216,-204.518278936662,-5.245904862658272,0.2667361292824209,0.1991284962233976,0.01247201809012026,-117.1589587227745,156.6317960798384,2.586944841521581,0.4228742042526278,0.3274407609391358,0.01849714459960144,-93.96951776687071,121.6734379262061,3.305135903907654
0.005500000000000001,-40378.83510781443,211.230390557049,7.4235148945547e-05,-0.0001018585933997774,-2.469554950945935e-06,0.01835980955728505,-0.01094979266894899,-5.727300781647881e-05,-0.7922919348128086,-0.5190327823679023,-0.02686409163081267,63.44061492902503,-96.13896212239729,-2.157530447159335,-0.1596829338001551,-0.1362384464801612,-0.007097424793080059,159.5839845641531,-187.2637081979951,-4.309434342578917,0.2545638564903721,0.2144507158139873,0.01270936262621091,-126.077974682995,149.5503674916743,2.155889001070667,0.4133026824116059,0.3394728653874702,0.01882002008447068,-97.42108194419556,118.9192452042575,3.151055321629422
